Shop_name,Start_time,End_time
y,0:00:23.880000,0:00:04.400000
me,0:00:06.600000,0:00:07.120000
wi,0:00:23.880000,0:00:25.320000
va,0:00:06.880000,0:00:06.880000
spors,0:00:23.120000,0:00:23.160000
nery,0:00:24.080000,0:00:24.480000
metroscicomau,0:00:27.640000,0:00:27.760000
mimico,0:00:21.200000,0:00:21.200000
cos,0:00:09.840000,0:00:10.200000
counts,0:00:19,0:00:19.040000
gazi,0:00:22.400000,0:00:22.440000
itcher,0:00:02.560000,0:00:02.600000
fit,0:00:22.440000,0:00:22.440000
sporls,0:00:22.840000,0:00:23
254,0:00:27.560000,0:00:30
theressend,0:00:07.320000,0:00:07.320000
tre,0:00:16.680000,0:00:17.080000
michael,0:00:09.840000,0:00:10.440000
ofncture,0:00:07.360000,0:00:07.360000
cazman,0:00:10.680000,0:00:22.400000
10,0:00:10.240000,0:00:10.440000
yroad,0:00:10.480000,0:00:11.560000
cutten,0:00:04.280000,0:00:04.840000
in,0:00:22.600000,0:00:07.320000
area,0:00:21.880000,0:00:21.880000
8272,0:00:09.840000,0:00:10.440000
cheric,0:00:03.080000,0:00:03.080000
of,0:00:00.680000,0:00:07.200000
gazm,0:00:22.080000,0:00:22.280000
sustralia,0:00:04.400000,0:00:04.400000
vidaul,0:00:09.800000,0:00:09.800000
at,0:00:22.480000,0:00:22.520000
cazean,0:00:22.160000,0:00:22.160000
all,0:00:21.400000,0:00:21.280000
hoad,0:00:19.400000,0:00:19.400000
park,0:00:27.560000,0:00:30
metro,0:00:00.480000,0:00:00.880000
nefy,0:00:23.920000,0:00:25.320000
countiz,0:00:18.960000,0:00:18.960000
apr,0:00:04.880000,0:00:05.080000
millico,0:00:21.320000,0:00:21.320000
8,0:00:06.600000,0:00:10.440000
and,0:00:00.160000,0:00:22.440000
akin,0:00:21.400000,0:00:21.280000
australla,0:00:04.560000,0:00:04.840000
cazmes,0:00:22.240000,0:00:22.240000
17,0:00:14.400000,0:00:14.400000
s,0:00:06.640000,0:00:22.400000
tr,0:00:17.160000,0:00:17.160000
ry,0:00:18.960000,0:00:19.040000
man,0:00:21.720000,0:00:21.760000
such,0:00:01.120000,0:00:01.120000
hyde,0:00:27.560000,0:00:30
roads,0:00:27.560000,0:00:27.560000
ne,0:00:23.720000,0:00:23.720000
mai,0:00:21.800000,0:00:21.840000
kohidsoda,0:00:13.720000,0:00:14.240000
ty,0:00:04.720000,0:00:04.480000
8123,0:00:06.600000,0:00:07.120000
comau,0:00:21.400000,0:00:27.600000
kohle,0:00:13.640000,0:00:13.640000
essence,0:00:07.360000,0:00:07.240000
toher,0:00:02.680000,0:00:02.680000
noture,0:00:07.280000,0:00:07.280000
nef,0:00:23.760000,0:00:24.040000
61,0:00:09.840000,0:00:10.440000
330,0:00:06.600000,0:00:07
08,0:00:06.600000,0:00:07.120000
tohert,0:00:02.760000,0:00:02.920000
porls,0:00:22.640000,0:00:22.640000
